year,rank,title
2014년,60위,가슴 시린 이야기 (Feat. 용준형 of BEAST)
2014년,61위,Night and Day
2014년,62위,"널 사랑한다, 지운다, 또 운다"
2014년,63위,티가 나나봐
2014년,64위,Can`t Stop
2014년,65위,헤픈엔딩 (Feat. 조원선 of 롤러코스터)
2014년,66위,미운오리새끼
2014년,67위,답이 없었어
2014년,68위,헤어졌다 만났다
2014년,69위,그대라구요
2014년,70위,내 생각날 거야 (Narr. 이시영)
2014년,71위,그게나야
2014년,72위,이제 그만 싸우자
2014년,73위,우산
2014년,74위,괜찮아 사랑이야
2014년,75위,Lonely (없구나)
2014년,76위,틈
2014년,77위,I Swear
2014년,78위,지금 술 한잔 했어
2014년,79위,멘붕 (CL Solo)
2014년,80위,내가 그리웠니 (Feat. 진실 of Mad Soul Child)
2014년,81위,보고 싶어...운다
2014년,82위,사랑이 지나가면
2014년,83위,얼음들
2014년,84위,Love Fiction
2014년,85위,하늘색 약속
2014년,86위,숨소리(Breath) (Sung by 태연 of 소녀시대 & 종현 of ..
2014년,87위,Good Luck
2014년,88위,Red Light
2014년,89위,Fxxk U (Feat. 범키)
2014년,90위,당신만이
2014년,91위,잠시 안녕처럼
2014년,92위,Bad (Radio Edit) (Feat. Vassy)
2014년,93위,Problem (Feat. Iggy Azalea)
2014년,94위,사랑 그 한마디
2014년,95위,잠 못드는 밤 (Feat. 펀치(Punch))
2014년,96위,빨개요
2014년,97위,끼부리지마
2014년,98위,12시 30분
2014년,99위,소주 한 잔
2014년,100위,벚꽃 엔딩
2015년,1위,꺼내 먹어요
2015년,2위,양화대교
2015년,3위,뱅뱅뱅 (BANG BANG BANG)
2015년,4위,마음
2015년,5위,SHAKE IT
2015년,6위,같은 시간 속의 너
2015년,7위,우연히 봄
2015년,8위,와리가리
2015년,9위,이럴거면 그러지말지 (Feat. Young K)
2015년,10위,그냥 (Just)
2015년,11위,그 남잔 말야
2015년,12위,LOSER
2015년,13위,BAE BAE
2015년,14위,위잉위잉
2015년,15위,Sugar
2015년,16위,위아래
2015년,17위,심쿵해 (Heart Attack)
2015년,18위,Me You (Feat. 백예린 of 15&)
2015년,19위,레옹
2015년,20위,I`m Not The Only One
2015년,21위,어깨
2015년,22위,목소리
2015년,23위,다른 남자 말고 너
2015년,24위,아예 (Ah Yeah)
2015년,25위,스물셋
2015년,26위,바람이나 좀 쐐 (Feat. 우혜미)
2015년,27위,음오아예 (Um Oh Ah Yeh)
2015년,28위,어머님이 누구니 (Feat. 제시)
2015년,29위,화 (Fire) (Feat. 진실 of Mad Soul Child)
2015년,30위,사월의 눈
2015년,31위,두사랑 (Feat. 매드클라운)
2015년,32위,Uptown Funk (Feat. Bruno Mars)
2015년,33위,Remember
2015년,34위,아프다
2015년,35위,또 다시 사랑
2015년,36위,No Make Up
2015년,37위,Puss (Prod. by 라이머)
2015년,38위,바람기억
2015년,39위,모르나봐
2015년,40위,맙소사
2015년,41위,동네술집
2015년,42위,우리 사랑하지 말아요
2015년,43위,가끔
2015년,44위,겁 (Feat. 태양)
2015년,45위,WE LIKE 2 PARTY
2015년,46위,사이먼 도미닉
2015년,47위,오늘부터 우리는 (Me gustas tu)
2015년,48위,링마벨 (Ring My Bell)
2015년,49위,또 운다 또
2015년,50위,너나 잘해
2015년,51위,사랑의 시작은 고백에서부터
2015년,52위,Oasis (Feat. ZICO)
2015년,53위,IF YOU
2015년,54위,Lost Stars
2015년,55위,커피 (Prod. by G-Park 박명수)
2015년,56위,사랑 범벅 (Feat. 챈슬러 of the channels)
2015년,57위,맨정신
2015년,58위,팔베개 (Pillow) (Feat. 기현)
2015년,59위,Girl Crush
2015년,60위,LUV
2015년,61위,I (Feat. 버벌진트)
2015년,62위,취향저격
2015년,63위,환청 (Feat. 나쑈(NaShow))
2015년,64위,My Type (Prod. by 버벌진트)
2015년,65위,스폰서 ($ponsor)
2015년,66위,바라보기
2015년,67위,Problem (Feat. Iggy Azalea)
2015년,68위,오빠차
2015년,69위,연예할래
2015년,70위,Lion Heart
2015년,71위,사뿐사뿐
2015년,72위,"아끼지마 (Don`t Be Shy) (Feat. 초아 of AOA, 아 .."
2015년,73위,너의 얘길 들어줄게
2015년,74위,새벽 가로수길 (With 송유빈)
2015년,75위,Ice Cream Cake
2015년,76위,한번 더 말해줘 (Feat. 장한나)
2015년,77위,꽃이 핀다
2015년,78위,CALL ME BABY
2015년,79위,그대도 같은가요
2015년,80위,PARTY
2015년,81위,View
2015년,82위,멋진헛간
2015년,83위,악몽 (Feat. 박수진)
2015년,84위,GOOD BOY
